gene0	Chromosome:1-1524
gene2373	Chromosome:2597854-2599947
gene2374	Chromosome:2599988-2600479
gene2375	Chromosome:2600731-2601879
gene2376	Chromosome:2601914-2603461
gene2377	Chromosome:2603695-2604222
gene2378	Chromosome:2604297-2604683
gene2379	Chromosome:2604740-2605078
gene2380	Chromosome:2605108-2606754
gene2381	Chromosome:2606708-2608321
gene2382	Chromosome:2608796-2609728
gene2383	Chromosome:2609732-2610421
gene2384	Chromosome:2610837-2611805
gene2385	Chromosome:2611869-2612987
gene2386	Chromosome:2613107-2614063
gene2387	Chromosome:2614693-2617581
gene2388	Chromosome:2617667-2618908
gene2389	Chromosome:2619407-2619479
gene2390	Chromosome:2619597-2620016
gene2391	Chromosome:2620272-2620529
gene2392	Chromosome:2620533-2622452
gene2393	Chromosome:2622457-2623752
gene2394	Chromosome:2623821-2625803
gene2395	Chromosome:2625888-2626172
gene2396	Chromosome:2626223-2626519
gene2397	Chromosome:2626654-2626980
gene2398	Chromosome:2627172-2628698
gene2399	Chromosome:2628781-2630319
gene2400	Chromosome:2630537-2632075
gene2401	Chromosome:2632923-2634098
gene2402	Chromosome:2634528-2635592
gene2403	Chromosome:2639673-2641064
gene2404	Chromosome:2641246-2641653
gene2405	Chromosome:2641650-2642042
gene2406	Chromosome:2642150-2642578
gene2407	Chromosome:2642578-2643468
gene2408	Chromosome:2643461-2644258
gene2409	Chromosome:2644320-2645774
gene2410	Chromosome:2645771-2646673
gene2411	Chromosome:2646747-2647088
gene2412	Chromosome:2647060-2648367
gene2413	Chromosome:2648364-2648912
gene2414	Chromosome:2648916-2649974
gene2415	Chromosome:2649946-2650248
gene2416	Chromosome:2650245-2651558
gene2417	Chromosome:2651753-2651938
gene2418	Chromosome:2652037-2652825
gene2419	Chromosome:2652839-2653987
gene2420	Chromosome:2654062-2655093
gene2421	Chromosome:2655265-2655582
gene2422	Chromosome:2655609-2656115
gene2423	Chromosome:2656215-2656430
gene2424	Chromosome:2656408-2657703
gene2425	Chromosome:2657700-2662085
gene2426	Chromosome:2662067-2667115
gene2427	Chromosome:2667255-2670269
gene2428	Chromosome:2670269-2671603
gene2429	Chromosome:2671593-2675837
gene2430	Chromosome:2675936-2677633
gene2431	Chromosome:2677729-2678649
gene2432	Chromosome:2678653-2680005
gene2433	Chromosome:2680458-2680667
gene2434	Chromosome:2680765-2682018
gene2435	Chromosome:2682015-2683142
gene2436	Chromosome:2683248-2683712
gene2437	Chromosome:2683709-2684266
gene2438	Chromosome:2684679-2686370
gene2439	Chromosome:2686367-2687131
gene2440	Chromosome:2687128-2687973
gene2441	Chromosome:2688010-2689941
gene2442	Chromosome:2690072-2692075
gene2443	Chromosome:2692172-2692521
gene2444	Chromosome:2692224-2692439
gene2445	Chromosome:2692551-2692715
gene2446	Chromosome:2692799-2693884
gene2447	Chromosome:2693909-2694964
gene2448	Chromosome:2694981-2695799
gene2449	Chromosome:2695796-2696647
gene2450	Chromosome:2696644-2697714
gene2451	Chromosome:2697728-2698057
gene2452	Chromosome:2698042-2698245
gene2453	Chromosome:2698529-2700457
gene2454	Chromosome:2700535-2701290
gene2455	Chromosome:2701287-2703248
gene2456	Chromosome:2703269-2703838
gene2457	Chromosome:2704009-2704437
gene2458	Chromosome:2704697-2705518
gene2459	Chromosome:2705762-2706736
gene2460	Chromosome:2706494-2707333
gene2461	Chromosome:2707333-2708310
gene2462	Chromosome:2708310-2709965
gene2463	Chromosome:2710075-2710335
gene2464	Chromosome:2710351-2711301
gene2465	Chromosome:2711332-2712876
gene2466	Chromosome:2712891-2713784
gene2467	Chromosome:2714124-2715332
gene2468	Chromosome:2715472-2716314
gene2469	Chromosome:2716395-2717138
gene2470	Chromosome:2717128-2717799
gene2471	Chromosome:2717796-2718176
gene2472	Chromosome:2718173-2718808
gene2473	Chromosome:2719083-2719355
gene2474	Chromosome:2719597-2720643
gene2475	Chromosome:2720776-2721777
gene2476	Chromosome:2721866-2723308
gene2477	Chromosome:2723308-2724183
gene2478	Chromosome:2724230-2725477
gene2480	Chromosome:2726193-2726780
gene2481	Chromosome:2726806-2727339
gene2482	Chromosome:2727336-2727920
gene2483	Chromosome:2727967-2728266
gene2484	Chromosome:2728437-2728847
gene2485	Chromosome:2728844-2729134
gene2486	Chromosome:2729115-2730560
gene2487	Chromosome:2730557-2732749
gene2488	Chromosome:2733230-2734144
gene2489	Chromosome:2734376-2734795
gene2490	Chromosome:2734792-2736831
gene2491	Chromosome:2736709-2736987
gene2492	Chromosome:2737117-2738247
gene2493	Chromosome:2738247-2739686
gene2494	Chromosome:2739772-2740032
gene2495	Chromosome:2740047-2740361
gene2496	Chromosome:2740709-2742184
gene2497	Chromosome:2742123-2744984
gene2498	Chromosome:2745314-2745724
gene2499	Chromosome:2745767-2746138
gene2500	Chromosome:2746135-2747598
gene2501	Chromosome:2747595-2750225
gene2502	Chromosome:2750313-2751572
gene2503	Chromosome:2751662-2752180
gene2504	Chromosome:2752262-2752660
gene2505	Chromosome:2752848-2752994
gene2506	Chromosome:2753018-2753623
gene2507	Chromosome:2753625-2754746
gene2508	Chromosome:2754743-2756704
gene2509	Chromosome:2756936-2758192
gene2510	Chromosome:2758208-2759488
gene2511	Chromosome:2759779-2760687
gene2512	Chromosome:2760854-2762380
gene2513	Chromosome:2762531-2763175
gene2514	Chromosome:2763172-2763774
gene2515	Chromosome:2763891-2765291
gene2516	Chromosome:2765331-2765404
gene2517	Chromosome:2765541-2765611
gene2518	Chromosome:2765655-2766839
gene2519	Chromosome:2766859-2767665
gene2520	Chromosome:2767671-2768159
gene2521	Chromosome:2768261-2768884
gene2522	Chromosome:2768986-2771571
gene2523	Chromosome:2771644-2772147
gene2524	Chromosome:2772098-2772331
gene2525	Chromosome:2772367-2773035
gene2526	Chromosome:2773178-2773564
gene2527	Chromosome:2773564-2775204
gene2528	Chromosome:2775272-2775565
gene2529	Chromosome:2775568-2776284
gene2530	Chromosome:2776316-2776969
gene2531	Chromosome:2776975-2777391
gene2532	Chromosome:2777388-2782262
gene2533	Chromosome:2782366-2784042
gene2534	Chromosome:2784123-2784608
gene2535	Chromosome:2786575-2786898
gene2536	Chromosome:2786914-2789283
gene2537	Chromosome:2789280-2791022
gene2538	Chromosome:2791019-2792494
gene2539	Chromosome:2792723-2793988
gene2540	Chromosome:2794176-2794249
gene2541	Chromosome:2794350-2795120
gene2542	Chromosome:2795301-2797385
gene2543	Chromosome:2797467-2800880
gene2544	Chromosome:2800846-2801145
gene2545	Chromosome:2801254-2806236
gene2546	Chromosome:2806323-2806529
gene2547	Chromosome:2806665-2807288
gene2548	Chromosome:2807278-2808030
gene2549	Chromosome:2808083-2808304
gene2550	Chromosome:2808310-2808735
gene2551	Chromosome:2808758-2809939
gene2552	Chromosome:2809936-2810982
gene2553	Chromosome:2810993-2812096
gene2554	Chromosome:2812355-2813176
gene2555	Chromosome:2813173-2813730
gene2556	Chromosome:2813727-2814911
gene2557	Chromosome:2814916-2816880
gene2558	Chromosome:2816885-2818474
gene2559	Chromosome:2818471-2819127
gene2560	Chromosome:2819124-2819870
gene2561	Chromosome:2819953-2821596
gene2562	Chromosome:2821712-2822359
gene2563	Chromosome:2822438-2823259
gene2564	Chromosome:2823256-2824593
gene2565	Chromosome:2824678-2825484
gene2566	Chromosome:2825488-2827089
gene2567	Chromosome:2827157-2827804
gene2568	Chromosome:2827854-2827926
gene2569	Chromosome:2828556-2829803
gene2570	Chromosome:2829954-2830139
gene2571	Chromosome:2830161-2830583
gene2572	Chromosome:2830877-2831338
gene2573	Chromosome:2831344-2832591
gene2574	Chromosome:2832710-2833513
gene2575	Chromosome:2833510-2833761
gene2576	Chromosome:2834109-2835335
gene2577	Chromosome:2835494-2835566
gene2578	Chromosome:2835785-2837263
gene2579	Chromosome:2837388-2837615
gene2580	Chromosome:2837684-2838157
gene2581	Chromosome:2838129-2839541
gene2582	Chromosome:2839538-2839930
gene2583	Chromosome:2840123-2849332
gene2584	Chromosome:2849852-2850574
gene2585	Chromosome:2851091-2851318
gene2586	Chromosome:2851315-2851716
gene2587	Chromosome:2851751-2852671
gene2588	Chromosome:2852875-2854266
gene2589	Chromosome:2854267-2854686
gene2590	Chromosome:2854683-2854907
gene2591	Chromosome:2854938-2857781
gene2592	Chromosome:2857853-2858254
gene2593	Chromosome:2858254-2858724
gene2594	Chromosome:2858727-2859290
gene2595	Chromosome:2859300-2860418
gene2596	Chromosome:2860452-2861144
gene2597	Chromosome:2861148-2861591
gene2598	Chromosome:2861588-2862676
gene2599	Chromosome:2862673-2863203
gene2600	Chromosome:2863207-2864412
gene2601	Chromosome:2864427-2864834
gene2602	Chromosome:2865130-2866341
gene2603	Chromosome:2866468-2867127
gene2604	Chromosome:2867124-2867786
gene2605	Chromosome:2867783-2868061
gene2606	Chromosome:2868154-2868567
gene2607	Chromosome:2868606-2868863
gene2608	Chromosome:2868860-2869237
gene2609	Chromosome:2869253-2869627
gene2610	Chromosome:2869727-2870122
gene2611	Chromosome:2870119-2870364
gene2612	Chromosome:2870775-2871194
gene2613	Chromosome:2871206-2872015
gene2614	Chromosome:2872012-2873265
gene2615	Chromosome:2873258-2873770
gene2616	Chromosome:2873771-2876485
gene2617	Chromosome:2876576-2876965
gene2618	Chromosome:2877072-2877746
gene2619	Chromosome:2877831-2878541
gene2620	Chromosome:2878571-2879929
gene2621	Chromosome:2880075-2881052
gene2623	Chromosome:2882290-2883339
gene2624	Chromosome:2883342-2884334
gene2625	Chromosome:2884611-2886362
gene2626	Chromosome:2886373-2889795
gene2627	Chromosome:2889795-2892449
gene2628	Chromosome:2892446-2893471
gene2629	Chromosome:2893464-2894408
gene2630	Chromosome:2894512-2894901
gene2631	Chromosome:2894893-2895960
gene2632	Chromosome:2896013-2897803
gene2633	Chromosome:2898043-2898783
gene2634	Chromosome:2898806-2899309
gene2635	Chromosome:2899339-2900220
gene2636	Chromosome:2900226-2900690
gene2637	Chromosome:2900918-2902507
gene2638	Chromosome:2902509-2903531
gene2639	Chromosome:2903639-2904541
gene2640	Chromosome:2904821-2906092
gene2641	Chromosome:2906089-2906763
gene2642	Chromosome:2906814-2907740
gene2643	Chromosome:2907826-2910198
gene2644	Chromosome:2910229-2910900
gene2645	Chromosome:2911004-2912677
gene2646	Chromosome:2912683-2914011
gene2647	Chromosome:2914015-2915736
gene2648	Chromosome:2915846-2916193
gene2649	Chromosome:2916360-2917709
gene2650	Chromosome:2917871-2921377
gene2651	Chromosome:2921551-2923182
gene2652	Chromosome:2923199-2924233
gene2653	Chromosome:2924230-2924820
gene2654	Chromosome:2924817-2925383
gene2655	Chromosome:2925492-2925737
gene2656	Chromosome:2925734-2926138
gene2657	Chromosome:2926355-2926975
gene2658	Chromosome:2926986-2927480
gene2659	Chromosome:2927477-2927908
gene2660	Chromosome:2927990-2928391
gene2661	Chromosome:2928388-2929959
gene2662	Chromosome:2930070-2930357
gene2663	Chromosome:2930344-2930784
gene2664	Chromosome:2930805-2931560
gene2665	Chromosome:2931693-2932289
gene2666	Chromosome:2932297-2933142
gene2667	Chromosome:2933171-2934070
gene2668	Chromosome:2934198-2934872
gene2669	Chromosome:2935046-2936788
gene2670	Chromosome:2936810-2937865
gene2671	Chromosome:2937865-2939001
gene2672	Chromosome:2939012-2939962
gene2673	Chromosome:2939959-2940612
gene2674	Chromosome:2940609-2941196
gene2675	Chromosome:2941189-2943267
gene2676	Chromosome:2943376-2943603
gene2677	Chromosome:2943600-2944985
gene2678	Chromosome:2945330-2945830
gene2679	Chromosome:2945847-2946287
gene2680	Chromosome:2946434-2947111
gene2681	Chromosome:2947096-2947449
gene2682	Chromosome:2947462-2947887
gene2683	Chromosome:2947884-2948558
gene2684	Chromosome:2948636-2949457
gene2685	Chromosome:2949593-2950486
gene2686	Chromosome:2950489-2951307
gene2687	Chromosome:2951322-2952503
gene2688	Chromosome:2952562-2952993
gene2689	Chromosome:2953507-2954748
gene2690	Chromosome:2955058-2955420
gene2691	Chromosome:2955767-2956891
gene2692	Chromosome:2956893-2957432
gene2693	Chromosome:2957572-2958870
gene2694	Chromosome:2958909-2959190
gene2695	Chromosome:2959335-2959820
gene2696	Chromosome:2960105-2962441
gene2697	Chromosome:2962470-2962712
gene2698	Chromosome:2962713-2963390
gene2699	Chromosome:2963586-2964242
gene2700	Chromosome:2964405-2964851
gene2701	Chromosome:2965026-2965358
gene2702	Chromosome:2965478-2965837
gene2703	Chromosome:2965939-2966397
gene2704	Chromosome:2966533-2966913
gene2705	Chromosome:2966910-2968406
gene2706	Chromosome:2968533-2968850
gene2707	Chromosome:2969497-2969568
gene2708	Chromosome:2969753-2969825
gene2709	Chromosome:2969855-2969925
gene2710	Chromosome:2969942-2970013
gene2711	Chromosome:2970123-2970554
gene2712	Chromosome:2970551-2971549
gene2713	Chromosome:2971563-2972027
gene2714	Chromosome:2973795-2975234
gene2715	Chromosome:2975242-2975775
gene2716	Chromosome:2975928-2976554
gene2717	Chromosome:2976586-2976909
gene2718	Chromosome:2976989-2977234
gene2719	Chromosome:2977231-2978658
gene2720	Chromosome:2978660-2979052
gene2721	Chromosome:2979049-2979309
gene2722	Chromosome:2979326-2979688
gene2723	Chromosome:2979691-2980818
gene2724	Chromosome:2980963-2981190
gene2725	Chromosome:2981187-2981576
gene2726	Chromosome:2981482-2981754
gene2727	Chromosome:2981853-2982086
gene2728	Chromosome:2982097-2982351
gene2729	Chromosome:2982699-2982980
gene2730	Chromosome:2983896-2984654
gene2731	Chromosome:2984733-2985254
gene2732	Chromosome:2985283-2985753
gene2733	Chromosome:2985731-2986840
gene2734	Chromosome:2986839-2987615
gene2735	Chromosome:2987682-2989268
gene2736	Chromosome:2989291-2990592
gene2737	Chromosome:2990706-2991116
gene2738	Chromosome:2991184-2991936
gene2739	Chromosome:2991933-2992628
gene2740	Chromosome:2992634-2993992
gene2741	Chromosome:2993989-2995062
gene2742	Chromosome:2995115-2995945
gene2743	Chromosome:2996105-2996737
gene2744	Chromosome:2996739-2998055
gene2745	Chromosome:2998052-2999968
gene2746	Chromosome:3000112-3000609
gene2747	Chromosome:3000614-3001903
gene2748	Chromosome:3001983-3003269
gene2749	Chromosome:3003280-3004038
gene2750	Chromosome:3004035-3004748
gene2751	Chromosome:3004745-3005650
gene2752	Chromosome:3005845-3007062
gene2753	Chromosome:3007236-3009209
gene2754	Chromosome:3009344-3010027
gene2755	Chromosome:3010024-3010686
gene2756	Chromosome:3010697-3011368
gene2757	Chromosome:3011399-3011767
gene2758	Chromosome:3011916-3012623
gene2759	Chromosome:3012829-3013608
gene2760	Chromosome:3013683-3014147
gene2761	Chromosome:3014173-3014658
gene2762	Chromosome:3014663-3014965
gene2763	Chromosome:3015203-3015853
gene2764	Chromosome:3015863-3016735
gene2765	Chromosome:3016858-3017655
gene2766	Chromosome:3017835-3019421
gene2767	Chromosome:3019458-3019886
gene2768	Chromosome:3019814-3020203
gene2769	Chromosome:3020200-3020457
gene2770	Chromosome:3020573-3021547
gene2771	Chromosome:3021548-3021796
gene2772	Chromosome:3021839-3022285
gene2773	Chromosome:3022461-3023432
gene2774	Chromosome:3023565-3024257
gene2775	Chromosome:3024270-3025328
gene2776	Chromosome:3025441-3026847
gene2777	Chromosome:3027065-3028039
gene2778	Chromosome:3028098-3029123
gene2779	Chromosome:3029172-3029858
gene2780	Chromosome:3029867-3030361
gene2781	Chromosome:3030413-3030877
gene2782	Chromosome:3031040-3031537
gene2783	Chromosome:3031788-3032498
gene2784	Chromosome:3032520-3034619
gene2785	Chromosome:3034635-3034883
gene2786	Chromosome:3034909-3036102
gene2787	Chromosome:3036131-3037291
gene2788	Chromosome:3037427-3038914
gene2789	Chromosome:3038931-3039800
gene2790	Chromosome:3039825-3040769
gene2791	Chromosome:3040766-3041461
gene2792	Chromosome:3041570-3042475
gene2793	Chromosome:3042542-3043018
gene2794	Chromosome:3043026-3044378
gene2795	Chromosome:3044375-3044989
gene2796	Chromosome:3044986-3046524
gene2797	Chromosome:3046821-3047675
gene2798	Chromosome:3047560-3048552
gene2799	Chromosome:3048562-3049086
gene2800	Chromosome:3049052-3051424
gene2801	Chromosome:3051806-3052012
gene2802	Chromosome:3052023-3053189
gene2803	Chromosome:3053233-3053682
gene2804	Chromosome:3053914-3055491
gene2805	Chromosome:3055515-3056348
gene2806	Chromosome:3056420-3057232
gene2807	Chromosome:3057251-3058063
gene2808	Chromosome:3058193-3058531
gene2809	Chromosome:3058602-3059231
gene2810	Chromosome:3059262-3059786
gene2811	Chromosome:3059855-3062506
gene2812	Chromosome:3062505-3062819
gene2813	Chromosome:3062816-3063634
gene2814	Chromosome:3063638-3064528
gene2815	Chromosome:3064515-3066191
gene2816	Chromosome:3066222-3067124
gene2817	Chromosome:3067193-3067945
gene2818	Chromosome:3068461-3070083
gene2819	Chromosome:3070170-3070586
gene2820	Chromosome:3070583-3070849
gene2821	Chromosome:3070875-3071270
gene2822	Chromosome:3071267-3071536
gene2823	Chromosome:3071546-3072640
gene2824	Chromosome:3072637-3073056
gene2825	Chromosome:3073130-3073609
gene2826	Chromosome:3073680-3074471
gene2827	Chromosome:3074636-3075373
gene2828	Chromosome:3075588-3076370
gene2829	Chromosome:3076367-3076720
gene2830	Chromosome:3076894-3078078
gene2831	Chromosome:3078158-3078985
gene2832	Chromosome:3079309-3080457
gene2833	Chromosome:3080581-3081033
gene2834	Chromosome:3081119-3081592
gene2835	Chromosome:3081604-3082341
gene2836	Chromosome:3082352-3082756
gene2837	Chromosome:3082909-3083370
gene2838	Chromosome:3083374-3084303
gene2839	Chromosome:3084485-3085555
gene2840	Chromosome:3085713-3086183
gene2841	Chromosome:3086215-3086754
gene2842	Chromosome:3086820-3087935
gene2843	Chromosome:3087950-3088984
gene2844	Chromosome:3089045-3090361
gene2845	Chromosome:3090339-3092597
gene2846	Chromosome:3092951-3093466
gene2847	Chromosome:3093479-3093748
gene2848	Chromosome:3093905-3094900
gene2849	Chromosome:3095111-3096874
gene2850	Chromosome:3096959-3097645
gene2851	Chromosome:3097706-3098938
gene2852	Chromosome:3098964-3100169
gene2853	Chromosome:3100202-3101581
gene2854	Chromosome:3101581-3102162
gene2855	Chromosome:3102364-3103260
gene2856	Chromosome:3103257-3103940
gene2857	Chromosome:3103937-3104911
gene2858	Chromosome:3105056-3105619
gene2859	Chromosome:3105619-3107307
gene2860	Chromosome:3107311-3107637
gene2861	Chromosome:3107768-3108397
gene2862	Chromosome:3108416-3110065
gene2863	Chromosome:3110167-3110523
gene2864	Chromosome:3110507-3110737
gene2865	Chromosome:3110780-3111823
gene2866	Chromosome:3111822-3112289
gene2867	Chromosome:3112465-3113094
gene2868	Chromosome:3112867-3113271
gene2869	Chromosome:3113268-3113459
gene2870	Chromosome:3113658-3114812
gene2871	Chromosome:3115046-3115303
gene2872	Chromosome:3115408-3115719
gene2873	Chromosome:3116139-3116747
gene2874	Chromosome:3116818-3118227
gene2875	Chromosome:3118224-3119036
gene2876	Chromosome:3123625-3123966
gene2877	Chromosome:3123967-3124983
gene2878	Chromosome:3124996-3126144
gene2879	Chromosome:3126240-3127367
gene2880	Chromosome:3127364-3128272
gene2881	Chromosome:3128253-3128963
gene2882	Chromosome:3128973-3129347
gene2883	Chromosome:3129344-3131773
gene2884	Chromosome:3131770-3132714
gene2885	Chromosome:3132892-3133539
gene2886	Chromosome:3133709-3134593
gene2887	Chromosome:3134596-3135483
gene2888	Chromosome:3135788-3136333
gene2889	Chromosome:3136330-3136599
gene2890	Chromosome:3136620-3137012
gene2891	Chromosome:3137009-3137224
gene2892	Chromosome:3137271-3138020
gene2893	Chromosome:3138099-3139181
gene2894	Chromosome:3139174-3140484
gene2895	Chromosome:3140487-3141314
gene2896	Chromosome:3141311-3142222
gene2897	Chromosome:3142309-3143628
gene2898	Chromosome:3143635-3144645
gene2899	Chromosome:3144620-3145171
gene2900	Chromosome:3145171-3147873
gene2901	Chromosome:3147959-3148258
gene2902	Chromosome:3148385-3149428
gene2903	Chromosome:3149425-3149976
gene2904	Chromosome:3150171-3150716
gene2905	Chromosome:3150713-3151201
gene2906	Chromosome:3151202-3152950
gene2907	Chromosome:3153039-3154631
gene2908	Chromosome:3154654-3155871
gene2909	Chromosome:3156148-3157521
gene2910	Chromosome:3157521-3158144
gene2911	Chromosome:3158165-3160054
gene2912	Chromosome:3160051-3160521
gene2913	Chromosome:3160580-3162061
gene2914	Chromosome:3162268-3164115
gene2915	Chromosome:3164152-3165192
gene2916	Chromosome:3165205-3166584
gene2917	Chromosome:3166684-3167802
gene2918	Chromosome:3168583-3169359
gene2919	Chromosome:3169356-3170723
gene2920	Chromosome:3170720-3171646
gene2921	Chromosome:3171627-3173000
gene2922	Chromosome:3173160-3174017
gene2923	Chromosome:3174059-3174643
gene2924	Chromosome:3174747-3174995
gene2925	Chromosome:3174992-3175372
gene2926	Chromosome:3175454-3177265
gene2927	Chromosome:3177537-3177818
gene2928	Chromosome:3177822-3178085
gene2929	Chromosome:3178458-3179312
gene2930	Chromosome:3179368-3180531
gene2931	Chromosome:3180548-3181762
gene2932	Chromosome:3181770-3183011
gene2933	Chromosome:3183138-3183395
gene2934	Chromosome:3183382-3183825
gene2935	Chromosome:3183905-3184567
gene2936	Chromosome:3184847-3186934
gene2937	Chromosome:3187030-3187611
gene2938	Chromosome:3187663-3187977
gene2939	Chromosome:3188008-3188871
gene2940	Chromosome:3188876-3189397
gene2941	Chromosome:3190701-3191621
gene2942	Chromosome:3191644-3192201
gene2943	Chromosome:3192373-3193158
gene2944	Chromosome:3193393-3194151
gene2945	Chromosome:3194166-3195548
gene2946	Chromosome:3195545-3196432
gene2947	Chromosome:3196431-3196850
gene2948	Chromosome:3196864-3198285
gene2949	Chromosome:3198292-3199107
gene2950	Chromosome:3199119-3199982
gene2951	Chromosome:3200266-3201015
gene2952	Chromosome:3200794-3202020
gene2953	Chromosome:3202420-3203397
gene2954	Chromosome:3203394-3204290
gene2955	Chromosome:3204381-3205232
gene2956	Chromosome:3205265-3206434
gene2957	Chromosome:3206431-3207942
gene2958	Chromosome:3207942-3208328
gene2959	Chromosome:3208576-3209406
gene2960	Chromosome:3209406-3211745
gene2961	Chromosome:3211803-3212108
gene2962	Chromosome:3212162-3212956
gene2963	Chromosome:3212970-3213854
gene2964	Chromosome:3213912-3214253
gene2965	Chromosome:3214628-3215572
gene2966	Chromosome:3215665-3216357
gene2967	Chromosome:3216361-3216891
gene2968	Chromosome:3216905-3217147
gene2969	Chromosome:3217155-3217643
gene2970	Chromosome:3217827-3218270
gene2971	Chromosome:3218339-3219214
gene2972	Chromosome:3219274-3219861
gene2973	Chromosome:3219863-3221698
gene2974	Chromosome:3221767-3223524
gene2975	Chromosome:3223568-3224680
gene2976	Chromosome:3224708-3226285
gene2977	Chromosome:3226363-3228243
gene2978	Chromosome:3228254-3230680
gene2979	Chromosome:3230738-3231076
gene2980	Chromosome:3231073-3232506
gene2981	Chromosome:3232871-3234139
gene2982	Chromosome:3234189-3237806
gene2983	Chromosome:3237818-3238099
gene2984	Chromosome:3238086-3238499
gene2985	Chromosome:3238601-3239470
gene2986	Chromosome:3239829-3240551
gene2987	Chromosome:3240548-3241171
gene2988	Chromosome:3241222-3241959
gene2989	Chromosome:3242198-3242983
gene2990	Chromosome:3242970-3243281
gene2991	Chromosome:3243697-3245448
gene2992	Chromosome:3245445-3251075
gene2993	Chromosome:3251072-3255688
gene2994	Chromosome:3255685-3262251
gene2995	Chromosome:3262248-3267731
gene2996	Chromosome:3267737-3272203
gene2997	Chromosome:3272214-3273209
gene2998	Chromosome:3273206-3274075
gene2999	Chromosome:3274072-3274902
gene3000	Chromosome:3274949-3276217
gene3001	Chromosome:3276380-3282715
gene3002	Chromosome:3283335-3285077
gene3003	Chromosome:3285070-3287832
gene3004	Chromosome:3288464-3289705
gene3005	Chromosome:3289705-3290235
gene3006	Chromosome:3289790-3290506
gene3007	Chromosome:3290624-3291325
gene3008	Chromosome:3291503-3296353
gene3009	Chromosome:3296350-3297840
gene3010	Chromosome:3297837-3299954
gene3011	Chromosome:3299971-3300570
gene3012	Chromosome:3300596-3302455
gene3013	Chromosome:3303103-3304248
gene3014	Chromosome:3304441-3305253
gene3015	Chromosome:3305279-3306535
gene3016	Chromosome:3306666-3307391
gene3017	Chromosome:3307580-3308545
gene3018	Chromosome:3308668-3309399
gene3019	Chromosome:3309470-3310297
gene3020	Chromosome:3310714-3312000
gene3021	Chromosome:3312101-3312838
gene3022	Chromosome:3312953-3313201
gene3023	Chromosome:3313283-3313672
gene3024	Chromosome:3313773-3315122
gene3025	Chromosome:3315236-3316456
gene3026	Chromosome:3316529-3317461
gene3027	Chromosome:3318330-3318815
gene3028	Chromosome:3318901-3319467
gene3029	Chromosome:3319663-3323046
gene3030	Chromosome:3323071-3323703
gene3031	Chromosome:3323709-3324476
gene3032	Chromosome:3324573-3325703
gene3033	Chromosome:3325934-3326104
gene3034	Chromosome:3326101-3326949
gene3035	Chromosome:3327023-3327736
gene3036	Chromosome:3327733-3329946
gene3037	Chromosome:3329949-3331361
gene3038	Chromosome:3331358-3331612
gene3039	Chromosome:3331854-3332048
gene3040	Chromosome:3332071-3332754
gene3041	Chromosome:3332787-3333788
gene3042	Chromosome:3333785-3335164
gene3043	Chromosome:3335164-3335748
gene3044	Chromosome:3335960-3336505
gene3045	Chromosome:3336796-3337917
gene3046	Chromosome:3337995-3338999
gene3047	Chromosome:3339118-3339762
gene3048	Chromosome:3339854-3342082
gene3049	Chromosome:3342165-3343118
gene3050	Chromosome:3343176-3343820
gene3051	Chromosome:3344033-3344629
gene3052	Chromosome:3344654-3346075
gene3053	Chromosome:3346147-3346848
gene3054	Chromosome:3346859-3347719
gene3055	Chromosome:3347982-3348473
gene3056	Chromosome:3348547-3348619
gene3057	Chromosome:3348659-3348730
gene3058	Chromosome:3348805-3350277
gene3059	Chromosome:3350274-3350993
gene3060	Chromosome:3351269-3352606
gene3061	Chromosome:3352458-3353468
gene3062	Chromosome:3353483-3355069
gene3063	Chromosome:3355099-3356541
gene3064	Chromosome:3356815-3357276
gene3065	Chromosome:3357602-3358567
gene3066	Chromosome:3358612-3359271
gene3067	Chromosome:3359585-3360586
gene3068	Chromosome:3360624-3361130
gene3069	Chromosome:3361130-3362986
gene3070	Chromosome:3363348-3363686
gene3071	Chromosome:3363693-3364532
gene3072	Chromosome:3364709-3365830
gene3073	Chromosome:3365836-3366450
gene3074	Chromosome:3366644-3367267
gene3075	Chromosome:3367264-3368793
gene3076	Chromosome:3368823-3369854
gene3077	Chromosome:3369950-3371434
gene3078	Chromosome:3371431-3371730
gene3079	Chromosome:3371815-3372471
gene3080	Chromosome:3372545-3374620
gene3081	Chromosome:3374651-3375664
gene3082	Chromosome:3375758-3376387
gene3083	Chromosome:3376490-3376852
gene3084	Chromosome:3376939-3378243
gene3085	Chromosome:3378711-3379001
gene3086	Chromosome:3379036-3379329
gene3089	Chromosome:3380679-3380993
gene3090	Chromosome:3381375-3382622
gene3091	Chromosome:3382785-3383888
gene3092	Chromosome:3383885-3385066
gene3093	Chromosome:3385163-3386077
gene3094	Chromosome:3386074-3386919
gene3095	Chromosome:3387075-3388031
gene3096	Chromosome:3388070-3388870
gene3097	Chromosome:3389101-3389925
gene3098	Chromosome:3389922-3391502
gene3099	Chromosome:3391534-3392778
gene3100	Chromosome:3392812-3393201
gene3101	Chromosome:3393380-3393928
gene3102	Chromosome:3394019-3394921
gene3103	Chromosome:3395379-3396461
gene3104	Chromosome:3396458-3397141
gene3105	Chromosome:3397214-3398290
gene3106	Chromosome:3398425-3399408
gene3107	Chromosome:3399419-3400183
gene3108	Chromosome:3400192-3401058
gene3109	Chromosome:3401055-3401918
gene3110	Chromosome:3401933-3403162
gene3111	Chromosome:3403200-3404921
gene3112	Chromosome:3405136-3406215
